formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
Sn(CCl)2,1.0253282008182145,0.8741149099999994,0.03248235299999962,257.11427698464496,2.759498643505321,10,74
Sn(ClO)2,1.0293999999999999,0.7980169392,-0.6162453225,576.0304370620488,2.5554207553879773,20,14
Sn(ClO)2,1.4489,0.7736295947,-0.6406326670000005,603.9082715559888,2.437456487904881,20,14
RbSnCl3,0.9861,0.022738519999999873,-1.7600508784999995,175.92255861329596,2.931167513717728,5,8
InSnCl3,2.0787999999999998,0.02009712699999966,-1.282238966333333,185.53527824765155,3.041985588124429,5,8
RbSnCl3,2.326613151723183,0.0,-1.7827893984999996,351.0235235553608,2.938028104296379,10,161
CsSnCl3,0.9752999999999998,0.022686821500001564,-1.786300865431036,172.32384914406742,3.449496781830894,5,221
SnCNCl3,1.4227999999999998,0.41513190416666657,-0.5302144491666662,399.52561345443996,2.087169196835588,12,7
SnCl3O4,1.2002,0.7464171362187502,-0.26982375156249994,860.9089130974826,2.2302307503953918,32,14
InSnCl3,1.8707999999999996,0.04738256600000046,-1.2549535273333323,1116.478354062945,4.044113460608604,40,42
CsSnCl3,2.9154,0.0,-1.8089876869310355,707.7549033566642,3.359527770056959,20,14
SnCNCl3,1.6622000000000001,0.4271544408333332,-0.5181919124999995,391.95645529378186,2.127474984750374,12,7
SnCCl3,0.8036,1.1652908899999996,0.030875266000000325,166.0981478357188,2.370165528198463,5,8
Sn2Cl4O3,1.7801,0.7203942945555566,-0.8129980436111105,1190.9623667119088,2.382719919122735,36,14
SnCl4O5,0.5465,0.9978876297500001,0.11324249749999993,481.8407254638486,2.347020803047472,20,15
K2SnHCl4,1.9466,0.2780860560937497,-1.3825113010312498,922.2883014002622,2.4466501052329304,32,62
SnS8(N2Cl)4,1.5998,0.39811839023809537,0.0583091780952382,2004.4620814879481,2.084624760993663,84,29
SnS16(Cl2O)2,2.0385,0.15391605445652345,-0.3548506710869553,2850.199810609161,1.8772932000224312,92,14
K2SnCl4O,1.6239999999999999,0.5383141440624986,-1.46486236775,883.9087184858773,2.6655381268697176,32,62
CoSnN6Cl5,1.0373999999999999,1.0077290361538456,0.3417007894230765,1721.6032633142088,1.6935166763893355,52,14
KSn2Cl5,2.9962,0.0,-1.6353830740312527,453.73531380755395,3.32142936881057,16,140
NaSn2Cl5,2.9783,0.0,-1.5860162529849169,873.6265637351751,3.3276280005162318,32,58
NiSn(ClO)6,1.526,0.4375061776339306,-0.4461935496428571,358.2903119032597,2.2529707675026156,14,2
SnC8(NCl3)2,0.6509,2.313456740845589,1.7993068243382353,3020.856762194924,2.003194298820877,136,228
Rb2SnCl6,2.5452,0.0,-1.888469903333333,262.376642392241,3.179377466673336,9,225
K2SnCl6,2.4712,0.0077884333333329,-1.8519207621666653,251.70294620067503,2.702382559115643,9,225
SnH8(NCl3)2,2.3281,0.0,-0.9421317397058824,249.17905375381716,2.4490673212172847,17,225
Tl2SnCl6,2.4899,0.0,-1.43132709462963,251.3367043780097,4.890340449658381,9,225
ZrSnCl6,2.2258,0.022797157291670977,-1.920544659583334,1507.14960540594,2.7940032868925817,48,7
SnHg6(P2Cl3)2,2.1321,0.0,-0.6672977512394976,1786.501486187532,6.16760058133544,68,198
K2SnCl6,2.4713000000000003,0.0032420666666661546,-1.8564671288333325,505.0180821554685,2.693755633412469,18,128
K2SnCl6,2.6777,0.0,-1.8597091954999985,511.3788775240587,2.6602493055013845,18,14
Cs2SnCl6,2.5997,0.0,-1.9195552860344813,288.8351831267041,3.433579394667458,9,225
SnH8(NCl3)2,2.5573,0.006630741764706016,-0.9355009979411761,260.4039469259943,2.3434985716777597,17,225
SrSn2Cl6O5,0.6836000000000001,0.804561990714288,-0.8631348299999999,838.5557119155134,2.4466026477296885,28,15
SnSe2(Cl4O)2,2.775,0.36553823942307595,-0.7775934457451924,785.3291178882758,2.5045777386218693,26,15
K3SnIrCl8,1.5941,0.03205621480769327,-1.7043455974423076,758.9284442527264,3.1150444734336302,26,31
